Algorithm, Descending?, n, Runtime (s), SOL, OPT, SOL/OPT,Epsilon
ptas_awfd, True,100000,6.753251,56185,49858,1.1269,0.25
ptas_awfd, True,100000,6.747451,56203,49809,1.12837,0.25
ptas_awfd, True,100000,6.646082,56517,50086,1.128399,0.25
ptas_awfd, True,100000,6.596491,56423,50004,1.12837,0.25
ptas_awfd, True,100000,6.749274,56211,49902,1.126428,0.25
ptas_awfd, True,100000,6.636065,56394,50019,1.127452,0.25
ptas_awfd, True,100000,6.598466,56392,50004,1.12775,0.25
ptas_awfd, True,100000,6.677768,56366,49943,1.128607,0.25
ptas_awfd, True,100000,6.676276,56303,49908,1.128136,0.25
ptas_awfd, True,100000,6.631924,56511,50103,1.127897,0.25
ptas_awfd, True,100000,6.600461,56461,50037,1.128385,0.25
ptas_awfd, True,100000,6.733638,56341,49937,1.128242,0.25
ptas_awfd, True,100000,6.615365,56514,50143,1.127057,0.25
ptas_awfd, True,100000,6.655774,56414,50002,1.128235,0.25
